NC_015762.1_411;NC_015777.1_18125;NC_015768.1_8751;NC_015771.1_12324;NC_015765.1_6073;NC_015772.1_14283;NC_015775.1_15859;NW_003565985.1_26226;NC_015776.1_17019;NC_015762.1_1265;NC_015777.1_17856;NC_015769.1_10192;NW_003566384.1_33820;NC_015772.1_14088;NC_015767.1_7711;NC_015771.1_11753;NC_015767.1_7794;NC_015763.1_1766;NC_015771.1_11899;NC_015773.1_14613;NC_015776.1_17233;NC_015779.1_19264;NW_003566135.1_29581;NC_015771.1_11678;MC65_None;bte-mir-2788_MI0016140;bte-mir-3715_MI0016227;MC37_None
LOC100645715;0;0;0;0;0;0;0;-0.857193497075087;0;0;-0.876268608780675;0;0;0;-0.91981299419819;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100645755;0;0;0;0;0;0;0;-0.863440975116263;0;0;-0.921860670249066;0;0;0;-0.930020589171174;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100645800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100645982;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100646083,LOC100646445,LOC100646688;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100646183;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100646220;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100646287;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100646400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100646546;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100646701;0;0;0;0;0;0;0;-0.844876220633512;0;0;-0.911981335494876;0;0;0;-0.879199498077283;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100646745;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100647020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100647030;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100647066;0;0;0;0;0;0;0;-0.847784797730392;0;0;-0.898363335301246;0;0;0;-0.900982338125226;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100647082;0;0;0;0;0;0;0;0.86049112183242;0;0;0.900752556729466;0;0;0;0.926337707672207;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100647107;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100647122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100647219;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100647330;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100647457;0;0;-0.816470198451482;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100647458;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100647462;0;0;0;0;0;0;0;-0.884726093255361;0;0;-0.936466643917566;0;0;0;-0.927457243508847;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100647571;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
