,Argk,LOC100642226,LOC100642278,LOC100642442,LOC100642761,LOC100642962,LOC100643149,LOC100643245,LOC100643324,"LOC100643448,LOC100643573","LOC100643490,LOC100643615",LOC100643909,LOC100643917,"LOC100644207,LOC100644326",LOC100644380,LOC100644460,"LOC100644679,LOC100644803",LOC100645107,LOC100645172,LOC100645186,LOC100645260,LOC100645357,"LOC100645422,LOC100647236",LOC100645532,LOC100645607,LOC100645621,LOC100645715,LOC100645755,LOC100645982,LOC100646287,LOC100646701,LOC100646745,LOC100647066,LOC100647082,LOC100647122,LOC100647219,LOC100647457,LOC100647462,LOC100647571,LOC100647719,LOC100647775,LOC100648104,LOC100648166,LOC100648246,LOC100648328,LOC100648613,LOC100648687,LOC100648726,LOC100648977,LOC100649060,LOC100649206,LOC100649548,LOC100649595,LOC100649617,"LOC100649684,LOC100649799",LOC100649746,LOC100649821,LOC100649867,LOC100649872,LOC100649912,LOC100650166,LOC100650271,LOC100650314,LOC100650504,LOC100650592,LOC100650715,LOC100651143,"LOC100651232,LOC100651471",LOC100651366,LOC100651655,LOC100651720,LOC100651862,"LOC100652140,LOC100652258",LOC100652148,VSP,NC_015762.1_411,NC_015777.1_18125,NC_015768.1_8751,NW_003565985.1_26226,NC_015762.1_1265,NC_015777.1_17856,NW_003566384.1_33820,NC_015767.1_7711,NC_015763.1_1766,NC_015773.1_14613,NC_015776.1_17233,NC_015771.1_11678,bte-mir-2788_MI0016140,rna8556_UTR3_UTR3,rna2029_UTR3_UTR3,rna9124_UTR3_UTR3,rna8557_UTR5_UTR5,rna17637_UTR5_UTR5,rnd-5_family-1739_1_3446_TE,rnd-5_family-825_1_322_TE,rnd-5_family-1522_1806_5325_TE,Gypsy-19_RP-I_1033_3957_TE,rnd-6_family-1476_1957_4172_TE,rnd-6_family-818_1_1483_TE,rnd-6_family-1476_43_1685_TE
LOC100646701,0.866679415,-0.87018151,-0.883670416,-0.909197448,-0.861813824,-0.283552929,0.898842463,-0.475852567,0.907351498,0.897662653,0.879404217,0.354639296,-0.314067748,0.176695085,-0.889868668,0.378803611,-0.17759147,0.875546214,0.854338736,0.367589199,-0.285035978,0.10363419,0.012577005,-0.057799207,0.122143057,0.874608389,0.88829238,0.920522409,-0.426874769,-0.013944399,0.900661665,-0.039158549,0.888613956,-0.906254035,0.091462458,-0.006996641,0.547725187,0.924569928,-0.005219133,0.908511663,-0.287793519,-0.01602164,0.895871308,0.117612136,0.902517181,0.873666385,0.870169134,0.09305823,-0.097258443,0.88528233,0.897579577,0.878539433,-0.442514771,0.838714852,0.916723564,0.905066878,-0.100636928,-0.900801325,0.915030802,0.903269112,0.89831371,0.905970354,0.124302844,-0.018380967,0.885828701,0.857471891,0.911042064,0.86045301,0.885395204,-0.871942798,0.876817824,0.905690793,0.893497321,-0.036355104,-0.893712416,-0.295584203,-0.235211372,-0.497965806,-0.844144872,-0.552529878,-0.90068208,-0.664573946,-0.895114991,-0.20701401,-0.489249336,-0.598548068,0.078390416,-0.529873434,-0.074901253,-0.126816874,-0.2480768,-0.074901253,-0.434376187,0.829822994,0.906724706,0.804388554,-0.323528737,0.924981308,-0.335705339,0.86420154
LOC100646745,0.079545206,-0.082236611,0.040035406,-0.050626498,0.022177956,0.449303894,-0.021588961,0.410384937,-0.009695771,0.141920045,-0.006445959,0.495836264,0.498358956,0.525358207,-0.013553625,-0.462522287,0.41991111,0.036981107,0.174360102,0.554990904,0.436010983,0.593572764,-0.418545587,0.461774561,0.455575575,0.117406296,0.032415425,0.009018063,0.458588176,-0.487506997,-0.039158549,0.493059879,0.06697164,-0.019344782,0.446888934,-0.473196372,-0.469222651,0.055495161,0.394846903,-0.000968836,0.389238868,0.467832518,0.077458449,0.524021454,0.028679423,0.10617027,0.125753197,0.507839211,0.504949213,-0.093085275,0.045197188,0.009015823,0.432697596,0.090253354,0.060262197,0.045834153,0.490924045,-0.084136805,-0.012841596,0.07468628,0.130667665,0.030510061,0.506740539,0.438392222,0.003676935,0.047916348,0.073887723,0.097991299,-0.006249765,-0.115132583,0.067519215,-0.074066721,0.003002223,0.520239705,0.077863704,0.166105159,0.500829958,0.505618698,-0.01722093,0.417952582,-0.010080813,-0.206444523,-0.037657858,-0.375951694,0.555931137,0.375019988,0.565580484,0.511813329,-0.547788752,-0.543233851,-0.593593383,-0.547788752,-0.515409363,0.17524046,0.05767188,0.131582048,0.410101696,0.026381238,0.48692802,0.013455777
LOC100647066,0.880281465,-0.884347898,-0.871502754,-0.916412631,-0.853572351,-0.185841728,0.890578283,-0.385730786,0.901609188,0.924545871,0.874473064,0.459778425,-0.205690213,0.288896768,-0.889193791,0.27786736,-0.086624831,0.879964304,0.888368906,0.485390093,-0.190175814,0.230791661,-0.077430811,0.041682054,0.219566461,0.896315873,0.891677785,0.918749118,-0.326590247,-0.11866701,0.888613956,0.06697164,0.899425157,-0.906757773,0.187142564,-0.108671513,0.444667754,0.932769541,0.079665508,0.904640336,-0.202974867,0.084593199,0.908907155,0.229764735,0.905042261,0.892962732,0.893688499,0.201831815,0.011661353,0.861706275,0.903674693,0.876934935,-0.347731796,0.854731134,0.925979382,0.911268706,0.00528209,-0.915252659,0.908581403,0.915679315,0.922775853,0.908874966,0.232714315,0.075915845,0.883047337,0.864313143,0.923249294,0.878044744,0.880482063,-0.893172346,0.887794276,0.886120068,0.890540024,0.075605484,-0.873373911,-0.258691789,-0.126620696,-0.387286477,-0.844442558,-0.460472438,-0.8992172,-0.706265079,-0.899599632,-0.286981826,-0.367791607,-0.515532495,0.199633349,-0.417734056,-0.192334315,-0.243061639,-0.374656313,-0.192334315,-0.543400622,0.864141224,0.915464108,0.829425927,-0.234081999,0.926921869,-0.229697388,0.863609122
LOC100647082,-0.886076308,0.889940136,0.888964125,0.92562185,0.868993236,0.233068933,-0.906514694,0.432215331,-0.916542739,-0.924870491,-0.8886652,-0.417966755,0.258066843,-0.241522305,0.901640164,-0.327825786,0.129412925,-0.889955309,-0.884930882,-0.438136884,0.236158195,-0.175783682,0.037320654,0.003248976,-0.178004802,-0.898622386,-0.902301004,-0.932101313,0.376915669,0.072389593,-0.906254035,-0.019344782,-0.906757773,0.918904832,-0.145935648,0.063651608,-0.497873215,-0.941751784,-0.041929055,-0.918759527,0.244539246,-0.039729449,-0.915351711,-0.181605555,-0.916241396,-0.896326262,-0.895130443,-0.154836813,0.037996393,-0.884251808,-0.913222325,-0.889639155,0.395829548,-0.859073006,-0.934385859,-0.92087119,0.043090261,0.921136428,-0.923933529,-0.922502465,-0.924183646,-0.919952832,-0.186306487,-0.03382334,-0.896373259,-0.872982218,-0.93026861,-0.881984283,-0.894747984,0.895654544,-0.894892547,-0.907166926,-0.904048689,-0.025429815,0.894597943,0.27909657,0.178015494,0.443194716,0.855833242,0.508862541,0.912161721,0.696837381,0.909828225,0.254324109,0.428363481,0.560538679,-0.146905199,0.474725698,0.141249062,0.193212321,0.321876463,0.141249062,0.500953382,-0.860240737,-0.923963244,-0.829296377,0.278187757,-0.938687009,0.281317939,-0.875668544
LOC100647122,0.195577436,-0.198542401,-0.088254535,-0.175055826,-0.101548882,0.372170455,0.107326852,0.309258931,0.119443505,0.2571945,0.118472505,0.505137229,0.412866813,0.507057018,-0.138304103,-0.370826819,0.360187588,0.157775131,0.280833283,0.561248742,0.359763219,0.559316044,-0.382275054,0.415545156,0.435308938,0.231439976,0.155388579,0.138478125,0.36041749,-0.449304798,0.091462458,0.446888934,0.187142564,-0.145935648,0.422998532,-0.43519076,-0.353081918,0.181697631,0.361570069,0.127615368,0.316455469,0.427013112,0.19779169,0.497473441,0.15397248,0.220996648,0.238471114,0.479151721,0.449580555,0.039804406,0.168430647,0.13253779,0.334448306,0.201447699,0.184961996,0.170074162,0.436233306,-0.204617021,0.117643121,0.196294352,0.246961497,0.156140692,0.482562981,0.399665223,0.1286699,0.165252697,0.196661048,0.211622727,0.119499925,-0.228976601,0.185976512,0.06014235,0.129135478,0.472225454,-0.054963988,0.11060785,0.426288018,0.393516846,-0.135201793,0.305357323,-0.136646982,-0.283432419,-0.161164016,-0.374251281,0.440916029,0.259453686,0.530059953,0.394687816,-0.513240881,-0.516404543,-0.579765638,-0.513240881,-0.534375724,0.278173465,0.181170854,0.23451529,0.330544464,0.155041121,0.399317352,0.134583834
LOC100647219,-0.119698736,0.122466266,0.005307767,0.093942678,0.02143072,-0.418892509,-0.023837368,-0.371837217,-0.035720946,-0.181345571,-0.037464629,-0.49543015,-0.464649281,-0.515041469,0.057257119,0.426899819,-0.395830574,-0.079121869,-0.210454982,-0.553078175,-0.406009029,-0.577148359,0.402710254,-0.442122214,-0.44508549,-0.156577686,-0.07535516,-0.054408831,-0.420721188,0.470482693,-0.006996641,-0.473196372,-0.108671513,0.063651608,-0.43519076,0.456347075,0.424967052,-0.099397892,-0.380238257,-0.044188349,-0.36079974,-0.450034931,-0.119137655,-0.510818893,-0.072461417,-0.145703212,-0.164400767,-0.494005251,-0.481768048,0.04573412,-0.088133668,-0.052321553,-0.394994743,-0.128628848,-0.10360199,-0.089119347,-0.468084783,0.125818161,-0.033070845,-0.116833649,-0.170534458,-0.074397032,-0.494498297,-0.421547369,-0.047538717,-0.088762027,-0.116450164,-0.137165226,-0.03795124,0.154254215,-0.108613324,0.02639313,-0.047269394,-0.49952767,-0.03064704,-0.145388173,-0.470946948,-0.462511743,0.058520237,-0.375321599,0.054447572,0.231948575,0.080745924,0.372570467,-0.511428649,-0.331663719,-0.548919616,-0.466896531,0.531601174,0.529790239,0.58434209,0.531601174,0.518252127,-0.210085752,-0.100609208,-0.166750741,-0.379129557,-0.071362452,-0.452559116,-0.055888048
LOC100647457,0.42079527,-0.420347274,-0.538856704,-0.471190747,-0.51023878,-0.568551539,0.530763964,-0.642637565,0.524822243,0.381874239,0.505982025,-0.247776868,-0.63037383,-0.375739375,-0.49380406,0.634705246,-0.481644479,0.464421826,0.32782838,-0.294034834,-0.557345139,-0.479126494,0.386558857,-0.451464328,-0.343507431,0.390984099,0.475809615,0.515349024,-0.65847828,0.433988082,0.547725187,-0.469222651,0.444667754,-0.497873215,-0.353081918,0.424967052,0.7368489,0.475520076,-0.360891713,0.517571208,-0.516515121,-0.433195853,0.439289036,-0.408129555,0.487286246,0.400633665,0.38089303,-0.407424978,-0.513043015,0.58786244,0.469504974,0.491474302,-0.643903668,0.39518434,0.466736401,0.473185786,-0.502250815,-0.436039017,0.532041301,0.446009284,0.392444644,0.487590701,-0.388659465,-0.407850424,0.500459519,0.444229862,0.451153834,0.400533022,0.5092114,-0.391529202,0.437462633,0.582229169,0.505432469,-0.492266413,-0.578858686,-0.318678137,-0.587766195,-0.741542046,-0.464475447,-0.693105811,-0.503101971,-0.190820366,-0.474937606,0.223061239,-0.782192331,-0.680359664,-0.468108622,-0.765304051,0.453965026,0.420310376,0.396997114,0.453965026,0.220171288,0.31308764,0.463397892,0.338198217,-0.555750496,0.502145422,-0.632317669,0.479295229
LOC100647462,0.91251575,-0.916664622,-0.906813001,-0.950890453,-0.88766894,-0.205977696,0.926108757,-0.412589815,0.937231946,0.956731462,0.908939068,0.463621597,-0.228007311,0.285196577,-0.92366488,0.301989033,-0.102030576,0.913403526,0.918208451,0.488545436,-0.210101501,0.222862601,-0.068495533,0.030108944,0.215144184,0.928095889,0.925706789,0.954508575,-0.352509466,-0.109375942,0.924569928,0.055495161,0.932769541,-0.941751784,0.181697631,-0.099397892,0.475520076,0.967749349,0.071495639,0.940132326,-0.222064587,0.074529056,0.942323326,0.223784645,0.93970204,0.924932656,0.925126786,0.195219507,-0.00232348,0.898149747,0.937808438,0.91105523,-0.373739326,0.885657517,0.960556657,0.945681939,-0.008551695,-0.948726584,0.944567464,0.949440259,0.955213883,0.94363264,0.227344106,0.066353546,0.917559951,0.896826041,0.95732984,0.90966377,0.915178024,-0.924894157,0.920667037,0.922976677,0.925365668,0.063690108,-0.909839434,-0.27358394,-0.145908735,-0.416930261,-0.877054392,-0.490477977,-0.934180558,-0.728048033,-0.933789255,-0.287479721,-0.398110121,-0.546468623,0.191283405,-0.448748637,-0.184207089,-0.237053332,-0.372366537,-0.184207089,-0.549962197,0.893005802,0.949703241,0.858178242,-0.254987895,0.962505117,-0.252628696,0.897080023
LOC100647571,0.089124818,-0.091388337,0.006418193,-0.067137815,-0.007286992,0.352588005,0.008838412,0.315730987,0.018637905,0.140121759,0.020433992,0.408545252,0.39109653,0.42707271,-0.036800857,-0.360430004,0.332067924,0.055198875,0.164913365,0.456430795,0.341868983,0.479729581,-0.335776957,0.369178099,0.369440014,0.119762814,0.051903281,0.034050976,0.355870457,-0.391933777,-0.005219133,0.394846903,0.079665508,-0.041929055,0.361570069,-0.380238257,-0.360891713,0.071495639,0.316958302,0.025680487,0.304224953,0.375260066,0.088299053,0.424278462,0.049317084,0.110711479,0.126337111,0.41056706,0.402703448,-0.048976775,0.062439069,0.032826507,0.334621674,0.096910357,0.075095642,0.063168683,0.391341133,-0.093806165,0.016335067,0.086288109,0.131103684,0.050887876,0.41059463,0.351547201,0.028751013,0.063454831,0.085873142,0.103757953,0.020766035,-0.117859115,0.079761739,-0.033108197,0.02843247,0.416757268,0.036506484,0.124794438,0.39537758,0.391571327,-0.038414537,0.319575657,-0.034326684,-0.185154556,-0.05631229,-0.307964006,0.432232212,0.283755352,0.456513186,0.395617127,-0.442122637,-0.439976434,-0.483952742,-0.442122637,-0.426587019,0.164906428,0.072724104,0.129102663,0.319939636,0.048125583,0.38128594,0.03597477
LOC100647719,0.883425822,-0.887181434,-0.891245631,-0.924191663,-0.870524359,-0.251757785,0.908048167,-0.449441023,0.917593009,0.919676017,0.889561704,0.397821608,-0.278795827,0.220034823,-0.901721356,0.347126848,-0.146816429,0.889062364,0.878370656,0.41556729,-0.254301213,0.151437263,-0.020091791,-0.022288833,0.15934916,0.894419909,0.90160505,0.932391113,-0.396089382,-0.052342553,0.908511663,-0.000968836,0.904640336,-0.918759527,0.127615368,-0.044188349,0.517571208,0.940132326,0.025680487,0.919451586,-0.260759941,0.020470346,0.912808035,0.160130656,0.915709362,0.892585382,0.89058137,0.134010058,-0.058840872,0.888717053,0.91200717,0.889898909,-0.413949297,0.855961889,0.932564642,0.919635205,-0.06336014,-0.918321529,0.925118738,0.920078152,0.919452585,0.919347959,0.165547363,0.015773778,0.896857898,0.871626399,0.927882732,0.878570417,0.895640717,-0.891543698,0.892744113,0.910864359,0.904566593,0.003999975,-0.898442992,-0.286142674,-0.198789531,-0.464354397,-0.855730729,-0.526454627,-0.912393554,-0.688820907,-0.908921485,-0.239005287,-0.451586863,-0.576397464,0.123692319,-0.496163145,-0.118765666,-0.170953591,-0.297632887,-0.118765666,-0.480060199,0.853626691,0.922241419,0.82446027,-0.295292446,0.938265653,-0.301592164,0.875735336
LOC100647775,-0.187056955,0.185995744,0.283602894,0.221397795,0.263656109,0.425636886,-0.273802164,0.450833901,-0.267118888,-0.148101273,-0.256628695,0.278662121,0.471981042,0.3522246,0.244289845,-0.463032358,0.372774985,-0.222228766,-0.11082995,0.320310023,0.41586959,0.425435181,-0.324500692,0.370587227,0.314334739,-0.160297937,-0.229377267,-0.256540422,0.473774078,-0.369783316,-0.287793519,0.389238868,-0.202974867,0.244539246,0.316455469,-0.36079974,-0.516515121,-0.222064587,0.304224953,-0.260759941,0.380798371,0.363275104,-0.197011638,0.368109315,-0.236312834,-0.168643055,-0.152627803,0.36272966,0.414982744,-0.324737844,-0.222235427,-0.244526562,0.458399818,-0.170843469,-0.216164036,-0.223889937,0.405196499,0.193302283,-0.271728635,-0.201254335,-0.156914866,-0.235897577,0.352945057,0.341378314,-0.250706113,-0.208671765,-0.20409122,-0.171132232,-0.258192899,0.16127831,-0.199178971,-0.315997143,-0.253418186,0.409275437,0.315480085,0.211950267,0.451306782,0.53017897,0.228391897,0.478581193,0.25004728,0.031919742,0.227310505,-0.228996515,0.566259122,0.458835005,0.411198149,0.544060428,-0.398555735,-0.380205156,-0.384111341,-0.398555735,-0.270848127,-0.10313854,-0.215288361,-0.129332311,0.407021476,-0.244504125,0.469409586,-0.237018903
LOC100648104,0.096030491,-0.098671682,0.017255341,-0.06953844,0.000792798,0.420479076,0.000639023,0.378950822,0.012146289,0.156060085,0.014577867,0.479744235,0.466397484,0.503621099,-0.033837964,-0.430803138,0.39503013,0.05577336,0.185880925,0.536287765,0.407806519,0.566752764,-0.39761728,0.437650502,0.435993938,0.132211913,0.051732859,0.030247742,0.425931096,-0.463803704,-0.01602164,0.467832518,0.084593199,-0.039729449,0.427013112,-0.450034931,-0.433195853,0.074529056,0.375260066,0.020470346,0.363275104,0.444393509,0.09473394,0.500959099,0.048515953,0.121507586,0.14004283,0.484996423,0.477767773,-0.067652167,0.064103218,0.029257099,0.400948537,0.10555234,0.078876355,0.064885077,0.464354426,-0.101199167,0.009336351,0.09227261,0.14537772,0.050337657,0.484687583,0.416348919,0.024353022,0.065743979,0.091696437,0.113420681,0.01490545,-0.12998752,0.084836035,-0.049090602,0.023892132,0.493738525,0.052982451,0.150957319,0.470603396,0.468969373,-0.036247896,0.384340009,-0.030790952,-0.211915627,-0.056877508,-0.362293445,0.517006898,0.34244025,0.539545982,0.474107356,-0.522549138,-0.519441154,-0.57017335,-0.522549138,-0.50022993,0.186140649,0.076178298,0.144035507,0.382268095,0.046859988,0.455020565,0.033140592
LOC100648166,0.889842179,-0.893999349,-0.878587676,-0.925720818,-0.860852856,-0.178519764,0.8982055,-0.380997764,0.90957457,0.935757148,0.882257986,0.473875824,-0.197564838,0.302039273,-0.89751272,0.27111335,-0.07899396,0.888669181,0.899902862,0.500904715,-0.183159459,0.244775297,-0.086519042,0.051313045,0.230683103,0.906780421,0.900397177,0.927244636,-0.320356023,-0.129510391,0.895871308,0.077458449,0.908907155,-0.915351711,0.19779169,-0.119137655,0.439289036,0.942323326,0.088299053,0.912808035,-0.197011638,0.09473394,0.918685118,0.242345299,0.913807735,0.903171768,0.904296536,0.213835297,0.021885854,0.867639441,0.912758799,0.885051985,-0.342207742,0.864275201,0.935567245,0.920434304,0.015167799,-0.925221881,0.916546844,0.925463014,0.933745619,0.917711812,0.244975272,0.085388084,0.891112716,0.873095513,0.933085499,0.887954867,0.888325299,-0.90356288,0.897181986,0.892655306,0.898659691,0.086715102,-0.879717704,-0.257704308,-0.117730214,-0.38065909,-0.852429973,-0.456264185,-0.907557249,-0.716793929,-0.908495774,-0.297112958,-0.35997955,-0.512682893,0.212774045,-0.411258086,-0.205052415,-0.25614755,-0.389942357,-0.205052415,-0.55864705,0.875473559,0.924904897,0.839569187,-0.227982211,0.935839302,-0.222018352,0.871694546
LOC100648246,0.239413724,-0.242933343,-0.11365354,-0.215814513,-0.129006489,0.433544687,0.136209813,0.357518676,0.15052694,0.312080761,0.14906864,0.596872776,0.480957841,0.597096399,-0.172462314,-0.430881473,0.420690096,0.195150131,0.339329089,0.662872839,0.418966663,0.657594246,-0.44849388,0.487023858,0.51227082,0.281592365,0.192494647,0.173016149,0.418116856,-0.527462342,0.117612136,0.524021454,0.229764735,-0.181605555,0.497473441,-0.510818893,-0.408129555,0.223784645,0.424278462,0.160130656,0.368109315,0.500959099,0.242345299,0.585175295,0.190994948,0.269325352,0.289793467,0.563392923,0.526517712,0.05681094,0.207906714,0.16556577,0.387461096,0.245984121,0.227526211,0.209920932,0.510814873,-0.250411721,0.148501594,0.240672397,0.300078752,0.193578941,0.567752713,0.468836758,0.161109556,0.203719654,0.2411914,0.258173437,0.150342745,-0.278670952,0.228261724,0.08091227,0.161743416,0.553788321,-0.074698342,0.126438066,0.497608293,0.456151414,-0.168299973,0.352065259,-0.170640845,-0.340215181,-0.199350501,-0.441581609,0.511878421,0.297667999,0.622971448,0.45716176,-0.603192821,-0.607497782,-0.683241208,-0.603192821,-0.632096412,0.335927932,0.222962898,0.284400699,0.384236578,0.192505304,0.464809443,0.167803481
LOC100648328,0.88466871,-0.888571091,-0.885267609,-0.923532527,-0.86570301,-0.22373544,0.903111883,-0.422966555,0.91333354,0.924523842,0.885609936,0.426038956,-0.247715798,0.250739466,-0.898923309,0.317927654,-0.120981744,0.887723575,0.885334382,0.447270106,-0.227067891,0.18651804,-0.045175622,0.005563874,0.186101393,0.89789508,0.899941503,0.929197488,-0.366930542,-0.081443352,0.902517181,0.028679423,0.905042261,-0.916241396,0.15397248,-0.072461417,0.487286246,0.93970204,0.049317084,0.915709362,-0.236312834,0.048515953,0.913807735,0.190994948,0.913764682,0.895392357,0.894573764,0.164006078,-0.02824591,0.87955963,0.911070426,0.886875404,-0.386275524,0.857958627,0.932451288,0.918706194,-0.033590311,-0.919700663,0.920639978,0.920882051,0.923624775,0.917498765,0.195350967,0.042068156,0.893485519,0.871014934,0.928607348,0.880941799,0.891676389,-0.89489369,0.893226624,0.902761657,0.901122761,0.035262466,-0.890161772,-0.275009397,-0.167881499,-0.432094409,-0.853337444,-0.499216596,-0.90934395,-0.698473124,-0.907543815,-0.260651111,-0.416353082,-0.551540575,0.157201274,-0.463403267,-0.151224663,-0.202929631,-0.33212914,-0.151224663,-0.509124839,0.860742488,0.922013689,0.829068042,-0.269452636,0.936092422,-0.271108062,0.873035524
LOC100648613,0.875094694,-0.879326101,-0.856710425,-0.908396473,-0.840469187,-0.146853513,0.877033096,-0.347260385,0.88888487,0.923844108,0.862372198,0.494002552,-0.162451107,0.327783236,-0.878523988,0.236586211,-0.051339712,0.871321315,0.890783418,0.524084367,-0.152210921,0.27599313,-0.110433043,0.07867202,0.253697512,0.893994895,0.882508541,0.907319307,-0.284983913,-0.156729821,0.873666385,0.10617027,0.892962732,-0.896326262,0.220996648,-0.145703212,0.400633665,0.924932656,0.110711479,0.892585382,-0.168643055,0.121507586,0.903171768,0.269325352,0.895392357,0.889772668,0.892080897,0.240446626,0.052558805,0.84273074,0.89538577,0.866058504,-0.307950454,0.850753175,0.918619945,0.902931034,0.045123764,-0.90997621,0.895509031,0.9096289,0.921182716,0.899323151,0.270830964,0.110551644,0.87165594,0.856766378,0.917033741,0.874387232,0.868317597,-0.890708133,0.881530345,0.868367516,0.87899458,0.116899505,-0.855481409,-0.241762894,-0.084227472,-0.341053078,-0.834663347,-0.42039732,-0.888132365,-0.713698823,-0.890751718,-0.313747054,-0.317725946,-0.478218831,0.242971569,-0.370593956,-0.234322715,-0.284008171,-0.41795489,-0.234322715,-0.578108979,0.86694805,0.908033289,0.829142952,-0.197642246,0.916795469,-0.187069783,0.853270069
LOC100648687,0.876365144,-0.880695407,-0.853215261,-0.90843133,-0.837727492,-0.128472146,0.874234576,-0.330002012,0.88653826,0.927514153,0.86021457,0.512843232,-0.142063819,0.348176379,-0.877134608,0.21747603,-0.034349955,0.870889371,0.895830053,0.545236316,-0.134352018,0.299241916,-0.127011767,0.097058092,0.271449111,0.896745418,0.881868467,0.905684243,-0.265925299,-0.175978262,0.870169134,0.125753197,0.893688499,-0.895130443,0.238471114,-0.164400767,0.38089303,0.925126786,0.126337111,0.89058137,-0.152627803,0.14004283,0.904296536,0.289793467,0.894573764,0.892080897,0.895171106,0.260327936,0.072737607,0.837134216,0.895231061,0.864514188,-0.289881851,0.852507588,0.919019565,0.902785314,0.064755246,-0.911354408,0.893021402,0.910628035,0.924406374,0.89856948,0.290601224,0.127927767,0.869884725,0.856805977,0.917984479,0.87640061,0.866154765,-0.893374508,0.882303288,0.863478929,0.877180091,0.1375512,-0.850468587,-0.234554676,-0.063913085,-0.319980811,-0.833517922,-0.402673779,-0.886582255,-0.720424831,-0.890304196,-0.328166272,-0.294682918,-0.462093506,0.26516801,-0.349207684,-0.255823127,-0.305216131,-0.440891968,-0.255823127,-0.597551161,0.872082542,0.908352108,0.832605991,-0.180724648,0.91583739,-0.167087719,0.851932355
