NC_015762.1_411;NC_015777.1_18125;NC_015768.1_8751;NC_015771.1_11825;NC_015772.1_14283;NC_015773.1_14909;NC_015778.1_18507;NC_015775.1_15859;NW_003565985.1_26226;NC_015777.1_17843;NC_015769.1_10192;NC_015770.1_11556;NC_015773.1_15238;NC_015778.1_18720;NW_003566858.1_37709;NC_015765.1_5591;NC_015770.1_10730;NW_003566135.1_29581;NC_015769.1_10121;NC_015762.1_1236;NC_015771.1_11678;bte-mir-1_MI0001575;MC65_None;bte-mir-9a_MI0001596;bte-bantam_MI0001574_;bte-mir-125_MI0001578;bte-mir-279b_MI0016201;MC37_None
LOC100651065;0;0;0;0;0;0;0;0;-0.90009772122006;0;0;0;0;0;0;0;0;0;0;0;0;-0.944392468049436;0;-0.942021415345443;-0.939443550183228;-0.933502873429428;0;0
LOC100651170;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100651175;0;0;0;0;0;0;0;0;-0.840630543246018;0;0;0;0;0;0;0;0;0;0;0;0;-0.882141560822617;0;-0.894023337983522;-0.864485666616014;-0.89692894942269;0;0
LOC100651473;0;0;0;0;0;0;0;0;0.851325470251801;0;0;0;0;0;0;0;0;0;0;0;0;0.892693412668587;0;0.870796109078114;0.855610852637684;0.867077005775929;0;0
LOC100651572;0;0;0;0;0;0;0;0;0.908305339317344;0;0;0;0;0;0;0;0;0;0;0;0;0.953189549503599;0;0.94653786803421;0.917223154074127;0.943864778761637;0;0
LOC100651870;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100651879;0;0;0;0;0;0;0;0;-0.853916738820923;0;0;0;0;0;0;0;0;0;0;0;0;-0.884294247347033;0;-0.888715800467623;-0.871450163918226;-0.898107304374932;0;0
LOC100651887;0;0;0;0;0;0;0;0;0.915785202821267;0;0;0;0;0;0;0;0;0;0;0;0;0.969052082900247;0;0.952884255656999;0.965582848754554;0.930833907377936;0;0
LOC100651902;0;0;0;0;0;0;0;0;-0.911379718637505;0;0;0;0;0;0;0;0;0;0;0;0;-0.921487718377014;0;-0.914044877065329;-0.920687857877914;-0.919668654098553;0;0
LOC100652002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.835434245659445;0;0.876512907562949;0.815032068121716;0.867800519306413;0;0
LOC100652032;0;0;0;0;0;0;0;0;-0.890806943266107;0;0;0;0;0;0;0;0;0;0;0;0;-0.889737517955269;0;-0.897845024669223;-0.89865399661043;-0.913681785793939;0;0
LOC100652039;0;0;0;0;0;0;0;0;-0.810202432537823;0;0;0;0;0;0;0;0;0;0;0;0;-0.867767023703265;0;-0.851050520636488;-0.874583784833984;-0.832831941584024;0.811122863354254;0
LOC100652215;0.880673802916838;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100652275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LOC100652301;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
